id,JobId,SkillId
js-000001,job-00001,sk-cooking
js-000002,job-00001,sk-food-preparation
js-000003,job-00001,sk-hospitality
js-000004,job-00001,sk-italian-cuisine
js-000005,job-00002,sk-cooking
js-000006,job-00002,sk-food-preparation
js-000007,job-00002,sk-pizza-preparation
js-000008,job-00003,sk-cooking
js-000009,job-00003,sk-food-preparation
js-000010,job-00004,sk-cooking
js-000011,job-00004,sk-food-preparation
js-000012,job-00004,sk-hospitality
js-000013,job-00005,sk-cooking
js-000014,job-00005,sk-food-preparation
js-000015,job-00005,sk-hospitality
js-000016,job-00006,sk-cooking
js-000017,job-00006,sk-food-preparation
js-000018,job-00007,sk-cooking
js-000019,job-00007,sk-food-preparation
js-000020,job-00007,sk-pizza-preparation
js-000021,job-00007,sk-slovenian-language
js-000022,job-00008,sk-cooking
js-000023,job-00008,sk-food-preparation
js-000024,job-00009,sk-cooking
js-000025,job-00009,sk-food-preparation
js-000026,job-00010,sk-cooking
js-000027,job-00010,sk-food-preparation
js-000028,job-00010,sk-hospitality
js-000029,job-00011,sk-cooking
js-000030,job-00011,sk-food-preparation
js-000031,job-00011,sk-hospitality
js-000032,job-00011,sk-menu-planning
js-000033,job-00012,sk-cooking
js-000034,job-00012,sk-food-preparation
js-000035,job-00013,sk-cooking
js-000036,job-00013,sk-food-preparation
js-000037,job-00013,sk-hospitality
js-000038,job-00014,sk-cooking
js-000039,job-00014,sk-food-preparation
js-000040,job-00014,sk-hospitality
js-000041,job-00014,sk-haccp
js-000042,job-00014,sk-food-safety
js-000043,job-00014,sk-japanese-cuisine
js-000044,job-00014,sk-asian-cuisine
js-000045,job-00015,sk-cooking
js-000046,job-00015,sk-food-preparation
js-000047,job-00015,sk-menu-planning
js-000048,job-00016,sk-cooking
js-000049,job-00016,sk-food-preparation
js-000050,job-00017,sk-cooking
js-000051,job-00017,sk-food-preparation
js-000052,job-00017,sk-dietary-cooking
js-000053,job-00017,sk-haccp
js-000054,job-00017,sk-food-safety
js-000055,job-00017,sk-menu-planning
js-000056,job-00017,sk-pastry-making
js-000057,job-00018,sk-cooking
js-000058,job-00018,sk-food-preparation
js-000059,job-00018,sk-hospitality
js-000060,job-00019,sk-cooking
js-000061,job-00019,sk-food-preparation
js-000062,job-00019,sk-kitchen-management
js-000063,job-00019,sk-management
js-000064,job-00019,sk-menu-planning
js-000065,job-00020,sk-cooking
js-000066,job-00020,sk-food-preparation
js-000067,job-00021,sk-cooking
js-000068,job-00021,sk-food-preparation
js-000069,job-00021,sk-hospitality
js-000070,job-00021,sk-haccp
js-000071,job-00021,sk-food-safety
js-000072,job-00021,sk-kitchen-management
js-000073,job-00021,sk-management
js-000074,job-00021,sk-menu-planning
js-000075,job-00021,sk-slovenian-language
js-000076,job-00022,sk-cooking
js-000077,job-00022,sk-food-preparation
js-000078,job-00022,sk-menu-planning
js-000079,job-00023,sk-cooking
js-000080,job-00023,sk-food-preparation
js-000081,job-00024,sk-cooking
js-000082,job-00024,sk-food-preparation
js-000083,job-00024,sk-haccp
js-000084,job-00024,sk-food-safety
js-000085,job-00025,sk-cooking
js-000086,job-00025,sk-food-preparation
js-000087,job-00025,sk-haccp
js-000088,job-00025,sk-food-safety
js-000089,job-00026,sk-cooking
js-000090,job-00026,sk-food-preparation
js-000091,job-00026,sk-dietary-cooking
js-000092,job-00027,sk-cooking
js-000093,job-00027,sk-food-preparation
js-000094,job-00028,sk-cooking
js-000095,job-00028,sk-food-preparation
js-000096,job-00029,sk-cooking
js-000097,job-00029,sk-food-preparation
js-000098,job-00029,sk-dietary-cooking
js-000099,job-00030,sk-cooking
js-000100,job-00030,sk-food-preparation
js-000101,job-00030,sk-hospitality
js-000102,job-00031,sk-cooking
js-000103,job-00031,sk-food-preparation
js-000104,job-00031,sk-kitchen-management
js-000105,job-00031,sk-management
js-000106,job-00031,sk-menu-planning
js-000107,job-00031,sk-slovenian-language
js-000108,job-00031,sk-english-language
js-000109,job-00032,sk-cooking
js-000110,job-00032,sk-food-preparation
js-000111,job-00032,sk-hospitality
js-000112,job-00032,sk-haccp
js-000113,job-00032,sk-food-safety
js-000114,job-00033,sk-cooking
js-000115,job-00033,sk-food-preparation
js-000116,job-00033,sk-dietary-cooking
js-000117,job-00034,sk-cooking
js-000118,job-00034,sk-food-preparation
js-000119,job-00034,sk-hospitality
js-000120,job-00035,sk-cooking
js-000121,job-00035,sk-food-preparation
js-000122,job-00035,sk-dietary-cooking
js-000123,job-00036,sk-cooking
js-000124,job-00036,sk-food-preparation
js-000125,job-00036,sk-dietary-cooking
js-000126,job-00037,sk-cooking
js-000127,job-00037,sk-food-preparation
js-000128,job-00037,sk-hospitality
js-000129,job-00038,sk-cooking
js-000130,job-00038,sk-food-preparation
js-000131,job-00039,sk-cooking
js-000132,job-00039,sk-food-preparation
js-000133,job-00039,sk-hospitality
js-000134,job-00039,sk-menu-planning
js-000135,job-00040,sk-cooking
js-000136,job-00040,sk-food-preparation
js-000137,job-00040,sk-hospitality
js-000138,job-00041,sk-cooking
js-000139,job-00041,sk-food-preparation
js-000140,job-00041,sk-menu-planning
js-000141,job-00042,sk-cooking
js-000142,job-00042,sk-food-preparation
js-000143,job-00043,sk-cooking
js-000144,job-00043,sk-food-preparation
js-000145,job-00043,sk-dietary-cooking
js-000146,job-00044,sk-cooking
js-000147,job-00044,sk-food-preparation
js-000148,job-00045,sk-cooking
js-000149,job-00045,sk-food-preparation
js-000150,job-00046,sk-cooking
js-000151,job-00046,sk-food-preparation
js-000152,job-00047,sk-cooking
js-000153,job-00047,sk-food-preparation
js-000154,job-00047,sk-dietary-cooking
js-000155,job-00048,sk-cooking
js-000156,job-00048,sk-food-preparation
js-000157,job-00048,sk-kitchen-management
js-000158,job-00048,sk-management
js-000159,job-00048,sk-menu-planning
js-000160,job-00049,sk-cooking
js-000161,job-00049,sk-food-preparation
js-000162,job-00049,sk-kitchen-management
js-000163,job-00049,sk-management
js-000164,job-00049,sk-menu-planning
js-000165,job-00050,sk-cooking
js-000166,job-00050,sk-food-preparation
js-000167,job-00050,sk-kitchen-management
js-000168,job-00050,sk-management
js-000169,job-00050,sk-menu-planning
js-000170,job-00051,sk-cooking
js-000171,job-00051,sk-food-preparation
js-000172,job-00052,sk-cooking
js-000173,job-00052,sk-food-preparation
js-000174,job-00053,sk-cooking
js-000175,job-00053,sk-food-preparation
js-000176,job-00053,sk-dietary-cooking
js-000177,job-00054,sk-cooking
js-000178,job-00054,sk-food-preparation
js-000179,job-00054,sk-hospitality
js-000180,job-00054,sk-slovenian-language
js-000181,job-00055,sk-cooking
js-000182,job-00055,sk-food-preparation
js-000183,job-00055,sk-hospitality
js-000184,job-00056,sk-cooking
js-000185,job-00056,sk-food-preparation
js-000186,job-00057,sk-cooking
js-000187,job-00057,sk-food-preparation
js-000188,job-00057,sk-dietary-cooking
js-000189,job-00057,sk-menu-planning
js-000190,job-00058,sk-cooking
js-000191,job-00058,sk-food-preparation
js-000192,job-00058,sk-hospitality
js-000193,job-00059,sk-cooking
js-000194,job-00059,sk-food-preparation
js-000195,job-00059,sk-hospitality
js-000196,job-00060,sk-cooking
js-000197,job-00060,sk-food-preparation
js-000198,job-00061,sk-cooking
js-000199,job-00061,sk-food-preparation
js-000200,job-00061,sk-hospitality
js-000201,job-00061,sk-haccp
js-000202,job-00061,sk-food-safety
js-000203,job-00062,sk-cooking
js-000204,job-00062,sk-food-preparation
js-000205,job-00062,sk-hospitality
js-000206,job-00062,sk-haccp
js-000207,job-00062,sk-food-safety
js-000208,job-00063,sk-cooking
js-000209,job-00063,sk-food-preparation
js-000210,job-00063,sk-hospitality
js-000211,job-00063,sk-haccp
js-000212,job-00063,sk-food-safety
js-000213,job-00064,sk-cooking
js-000214,job-00064,sk-food-preparation
js-000215,job-00064,sk-hospitality
js-000216,job-00064,sk-haccp
js-000217,job-00064,sk-food-safety
js-000218,job-00065,sk-cooking
js-000219,job-00065,sk-food-preparation
js-000220,job-00066,sk-cooking
js-000221,job-00066,sk-food-preparation
js-000222,job-00067,sk-cooking
js-000223,job-00067,sk-food-preparation
js-000224,job-00068,sk-cooking
js-000225,job-00068,sk-food-preparation
js-000226,job-00068,sk-dietary-cooking
js-000227,job-00069,sk-cooking
js-000228,job-00069,sk-food-preparation
js-000229,job-00070,sk-cooking
js-000230,job-00070,sk-food-preparation
js-000231,job-00070,sk-hospitality
js-000232,job-00070,sk-menu-planning
js-000233,job-00071,sk-cooking
js-000234,job-00071,sk-food-preparation
js-000235,job-00072,sk-cooking
js-000236,job-00072,sk-food-preparation
js-000237,job-00073,sk-cooking
js-000238,job-00073,sk-food-preparation
js-000239,job-00074,sk-cooking
js-000240,job-00074,sk-food-preparation
js-000241,job-00074,sk-pizza-preparation
js-000242,job-00075,sk-cooking
js-000243,job-00075,sk-food-preparation
js-000244,job-00075,sk-dietary-cooking
js-000245,job-00076,sk-cooking
js-000246,job-00076,sk-food-preparation
js-000247,job-00076,sk-dietary-cooking
js-000248,job-00077,sk-cooking
js-000249,job-00077,sk-food-preparation
js-000250,job-00078,sk-cooking
js-000251,job-00078,sk-food-preparation
js-000252,job-00079,sk-cooking
js-000253,job-00079,sk-food-preparation
js-000254,job-00079,sk-dietary-cooking
js-000255,job-00080,sk-cooking
js-000256,job-00080,sk-food-preparation
js-000257,job-00080,sk-slovenian-language
js-000258,job-00081,sk-cooking
js-000259,job-00081,sk-food-preparation
js-000260,job-00081,sk-hospitality
js-000261,job-00082,sk-cooking
js-000262,job-00082,sk-food-preparation
js-000263,job-00082,sk-dietary-cooking
js-000264,job-00083,sk-cooking
js-000265,job-00083,sk-food-preparation
js-000266,job-00083,sk-dietary-cooking
js-000267,job-00084,sk-cooking
js-000268,job-00084,sk-food-preparation
js-000269,job-00084,sk-pizza-preparation
js-000270,job-00085,sk-cooking
js-000271,job-00085,sk-food-preparation
js-000272,job-00085,sk-dietary-cooking
js-000273,job-00085,sk-haccp
js-000274,job-00085,sk-food-safety
js-000275,job-00086,sk-cooking
js-000276,job-00086,sk-food-preparation
js-000277,job-00087,sk-cooking
js-000278,job-00087,sk-food-preparation
js-000280,job-00088,sk-cooking
js-000281,job-00088,sk-food-preparation
js-000282,job-00088,sk-hospitality
js-000284,job-00089,sk-cooking
js-000285,job-00089,sk-food-preparation
js-000286,job-00089,sk-dietary-cooking
js-000287,job-00090,sk-cooking
js-000288,job-00090,sk-food-preparation
js-000289,job-00090,sk-dietary-cooking
js-000290,job-00091,sk-cooking
js-000291,job-00091,sk-food-preparation
js-000292,job-00092,sk-cooking
js-000293,job-00092,sk-food-preparation
js-000294,job-00092,sk-hospitality
js-000295,job-00093,sk-cooking
js-000296,job-00093,sk-food-preparation
js-000297,job-00093,sk-hospitality
js-000300,job-00095,sk-cooking
js-000301,job-00095,sk-food-preparation
js-000305,job-00096,sk-cooking
js-000306,job-00096,sk-food-preparation
js-000307,job-00096,sk-hospitality
js-000308,job-00097,sk-cooking
js-000309,job-00097,sk-food-preparation
js-000310,job-00098,sk-cooking
js-000311,job-00098,sk-food-preparation
js-000312,job-00098,sk-hospitality
js-000313,job-00098,sk-menu-planning
js-000314,job-00099,sk-cooking
js-000315,job-00099,sk-food-preparation
js-000316,job-00099,sk-hospitality
js-000317,job-00100,sk-cooking
js-000318,job-00100,sk-food-preparation
js-000319,job-00100,sk-hospitality
js-000320,job-00101,sk-cooking
js-000321,job-00101,sk-food-preparation
js-000322,job-00101,sk-hospitality
js-000323,job-00102,sk-cooking
js-000324,job-00102,sk-food-preparation
js-000325,job-00102,sk-hospitality
js-000326,job-00103,sk-cooking
js-000327,job-00103,sk-food-preparation
js-000328,job-00104,sk-cooking
js-000329,job-00104,sk-food-preparation
js-000330,job-00105,sk-cooking
js-000331,job-00105,sk-food-preparation
js-000332,job-00106,sk-cooking
js-000333,job-00106,sk-food-preparation
js-000334,job-00106,sk-kitchen-management
js-000335,job-00106,sk-management
js-000336,job-00106,sk-menu-planning
js-000337,job-00107,sk-cooking
js-000338,job-00107,sk-food-preparation
js-000339,job-00108,sk-cooking
js-000340,job-00108,sk-food-preparation
js-000341,job-00108,sk-dietary-cooking
js-000342,job-00109,sk-cooking
js-000343,job-00109,sk-food-preparation
js-000344,job-00109,sk-hospitality
js-000345,job-00109,sk-haccp
js-000346,job-00109,sk-food-safety
js-000347,job-00110,sk-cooking
js-000348,job-00110,sk-food-preparation
js-000349,job-00110,sk-hospitality
js-000350,job-00111,sk-cooking
js-000351,job-00111,sk-food-preparation
js-000352,job-00111,sk-menu-planning
js-000353,job-00112,sk-cooking
js-000354,job-00112,sk-food-preparation
js-000355,job-00112,sk-menu-planning
js-000356,job-00113,sk-cooking
js-000357,job-00113,sk-food-preparation
js-000358,job-00113,sk-menu-planning
js-000359,job-00114,sk-cooking
js-000360,job-00114,sk-food-preparation
js-000361,job-00114,sk-hospitality
js-000362,job-00115,sk-cooking
js-000363,job-00115,sk-food-preparation
js-000364,job-00115,sk-hospitality
js-000365,job-00115,sk-dietary-cooking
js-000366,job-00116,sk-cooking
js-000367,job-00116,sk-food-preparation
js-000368,job-00116,sk-dietary-cooking
js-000369,job-00116,sk-menu-planning
js-000370,job-00117,sk-cooking
js-000371,job-00117,sk-food-preparation
js-000372,job-00117,sk-menu-planning
js-000373,job-00118,sk-production-work
js-000374,job-00118,sk-industrial-manufacturing
js-000375,job-00118,sk-machine-operation
js-000376,job-00118,sk-cnc-machining
js-000377,job-00119,sk-production-work
js-000378,job-00120,sk-production-work
js-000379,job-00121,sk-production-work
js-000380,job-00121,sk-industrial-manufacturing
js-000381,job-00121,sk-machine-operation
js-000382,job-00122,sk-production-work
js-000383,job-00122,sk-machine-operation
js-000384,job-00122,sk-forklift-operation
js-000385,job-00122,sk-warehouse-operations
js-000386,job-00123,sk-production-work
js-000387,job-00123,sk-industrial-manufacturing
js-000388,job-00123,sk-production-line-work
js-000389,job-00123,sk-machine-operation
js-000390,job-00123,sk-assembly
js-000391,job-00124,sk-production-work
js-000392,job-00125,sk-production-work
js-000393,job-00125,sk-industrial-manufacturing
js-000394,job-00125,sk-machine-operation
js-000395,job-00125,sk-assembly
js-000396,job-00126,sk-production-work
js-000397,job-00126,sk-industrial-manufacturing
js-000398,job-00126,sk-machine-operation
js-000399,job-00126,sk-quality-control
js-000400,job-00127,sk-production-work
js-000401,job-00127,sk-industrial-manufacturing
js-000402,job-00127,sk-machine-operation
js-000403,job-00127,sk-packaging
js-000404,job-00127,sk-quality-control
js-000405,job-00128,sk-production-work
js-000406,job-00128,sk-industrial-manufacturing
js-000407,job-00128,sk-machine-operation
js-000408,job-00129,sk-production-work
js-000409,job-00129,sk-quality-control
js-000410,job-00129,sk-forklift-operation
js-000411,job-00129,sk-material-handling
js-000412,job-00130,sk-production-work
js-000413,job-00130,sk-industrial-manufacturing
js-000414,job-00131,sk-production-work
js-000415,job-00131,sk-packaging
js-000416,job-00131,sk-cleaning
