id,JobId,SkillId
js-000175,job-00063,sk-food-preparation
js-000176,job-00063,sk-food-safety
js-000177,job-00063,sk-haccp
js-000178,job-00063,sk-hospitality
js-000179,job-00064,sk-cooking
js-000180,job-00064,sk-food-preparation
js-000181,job-00064,sk-food-safety
js-000182,job-00064,sk-haccp
js-000183,job-00064,sk-hospitality
js-000184,job-00065,sk-cooking
js-000185,job-00066,sk-cooking
js-000186,job-00066,sk-hospitality
js-000187,job-00067,sk-cooking
js-000188,job-00068,sk-cooking
js-000189,job-00068,sk-dietary-cooking
js-000190,job-00068,sk-food-preparation
js-000191,job-00069,sk-cooking
js-000192,job-00069,sk-food-preparation
js-000193,job-00069,sk-hospitality
js-000194,job-00070,sk-cooking
js-000195,job-00070,sk-food-preparation
js-000196,job-00070,sk-hospitality
js-000197,job-00070,sk-inventory-management
js-000198,job-00070,sk-menu-planning
js-000199,job-00071,sk-cooking
js-000200,job-00072,sk-cooking
js-000201,job-00072,sk-food-preparation
js-000202,job-00073,sk-cooking
js-000203,job-00073,sk-food-preparation
js-000204,job-00074,sk-cooking
js-000205,job-00074,sk-pizza-preparation
js-000206,job-00075,sk-cooking
js-000207,job-00075,sk-dietary-cooking
js-000208,job-00075,sk-food-preparation
js-000209,job-00076,sk-cooking
js-000210,job-00076,sk-dietary-cooking
js-000211,job-00076,sk-food-preparation
js-000212,job-00077,sk-cooking
js-000213,job-00077,sk-food-preparation
js-000214,job-00078,sk-cooking
js-000215,job-00079,sk-cooking
js-000216,job-00079,sk-dietary-cooking
js-000217,job-00080,sk-cooking
js-000218,job-00080,sk-food-preparation
js-000219,job-00080,sk-slovenian-language
js-000220,job-00081,sk-cooking
js-000221,job-00081,sk-food-preparation
js-000222,job-00081,sk-hospitality
js-000223,job-00082,sk-cooking
js-000224,job-00082,sk-dietary-cooking
js-000225,job-00082,sk-food-preparation
js-000226,job-00083,sk-cooking
js-000227,job-00083,sk-dietary-cooking
js-000228,job-00083,sk-food-preparation
js-000229,job-00084,sk-cooking
js-000230,job-00084,sk-pizza-preparation
js-000231,job-00085,sk-cooking
js-000232,job-00085,sk-dietary-cooking
js-000233,job-00085,sk-food-preparation
js-000234,job-00085,sk-food-safety
js-000235,job-00085,sk-haccp
js-000236,job-00086,sk-cooking
js-000237,job-00086,sk-food-preparation
js-000238,job-00087,sk-cooking
js-000239,job-00087,sk-food-preparation
js-000240,job-00088,sk-cooking
js-000241,job-00088,sk-food-preparation
js-000242,job-00088,sk-hospitality
js-000243,job-00089,sk-cooking
js-000244,job-00089,sk-dietary-cooking
js-000245,job-00089,sk-food-preparation
js-000246,job-00090,sk-cooking
js-000247,job-00090,sk-dietary-cooking
js-000248,job-00090,sk-food-preparation
js-000249,job-00091,sk-cooking
js-000250,job-00092,sk-cooking
js-000251,job-00092,sk-food-preparation
js-000252,job-00093,sk-cooking
js-000253,job-00093,sk-food-preparation
js-000254,job-00094,sk-general-work
js-000255,job-00095,sk-cooking
js-000256,job-00095,sk-kitchen-management
js-000257,job-00096,sk-cooking
js-000258,job-00096,sk-food-preparation
js-000259,job-00096,sk-hospitality
js-000260,job-00097,sk-cooking
js-000261,job-00097,sk-food-preparation
js-000262,job-00098,sk-cooking
js-000263,job-00098,sk-food-preparation
js-000264,job-00098,sk-hospitality
js-000265,job-00098,sk-menu-planning
js-000266,job-00099,sk-cooking
js-000267,job-00099,sk-food-preparation
js-000268,job-00100,sk-cooking
js-000269,job-00100,sk-food-preparation
js-000270,job-00100,sk-hospitality
js-000271,job-00101,sk-cooking
js-000272,job-00101,sk-hospitality
js-000273,job-00102,sk-cooking
js-000274,job-00102,sk-food-preparation
js-000275,job-00102,sk-hospitality
js-000276,job-00103,sk-cooking
js-000277,job-00103,sk-hospitality
js-000278,job-00104,sk-cooking
js-000279,job-00104,sk-food-preparation
js-000280,job-00104,sk-hospitality
js-000281,job-00105,sk-cooking
js-000282,job-00105,sk-food-preparation
js-000283,job-00106,sk-cooking
js-000284,job-00106,sk-kitchen-management
js-000285,job-00107,sk-cooking
js-000286,job-00107,sk-hospitality
js-000287,job-00108,sk-cooking
js-000288,job-00108,sk-dietary-cooking
js-000289,job-00109,sk-cooking
js-000290,job-00109,sk-food-preparation
js-000291,job-00109,sk-food-safety
js-000292,job-00109,sk-haccp
js-000293,job-00109,sk-hospitality
js-000294,job-00109,sk-kitchen-management
js-000295,job-00110,sk-cooking
js-000296,job-00110,sk-food-preparation
js-000297,job-00110,sk-hospitality
js-000298,job-00110,sk-kitchen-management
js-000299,job-00111,sk-cooking
js-000300,job-00111,sk-food-preparation
js-000301,job-00111,sk-inventory-management
js-000302,job-00111,sk-menu-planning
js-000303,job-00112,sk-cooking
js-000304,job-00112,sk-food-preparation
js-000305,job-00112,sk-menu-planning
js-000306,job-00113,sk-cooking
js-000307,job-00113,sk-food-preparation
js-000308,job-00113,sk-menu-planning
js-000309,job-00114,sk-cooking
js-000310,job-00114,sk-hospitality
js-000311,job-00115,sk-cooking
js-000312,job-00115,sk-dietary-cooking
js-000313,job-00115,sk-hospitality
js-000314,job-00116,sk-cooking
js-000315,job-00116,sk-dietary-cooking
js-000316,job-00116,sk-food-preparation
js-000317,job-00116,sk-menu-planning
js-000318,job-00117,sk-cooking
js-000319,job-00117,sk-food-preparation
js-000320,job-00117,sk-menu-planning
js-000321,job-00118,sk-machine-operation
js-000322,job-00118,sk-production-work
js-000323,job-00119,sk-production-work
js-000324,job-00120,sk-production-work
js-000325,job-00121,sk-machine-operation
js-000326,job-00121,sk-production-work
js-000327,job-00122,sk-production-work
js-000328,job-00123,sk-machine-operation
js-000329,job-00123,sk-production-work
js-000330,job-00124,sk-production-work
js-000331,job-00125,sk-machine-operation
js-000332,job-00125,sk-production-work
js-000333,job-00126,sk-production-work
js-000334,job-00127,sk-machine-operation
js-000335,job-00127,sk-production-work
js-000336,job-00128,sk-machine-operation
js-000337,job-00128,sk-production-work
js-000338,job-00129,sk-production-work
js-000339,job-00130,sk-production-work
js-000340,job-00131,sk-production-work
js-000341,job-00132,sk-production-work
